,day,month,year,film,released,rating,review_link,film_link,numeric_rating,name,director,rating_value,released_event,url,image
23,30,Jun,2024,Citizen Kane,1941,×,,/marvelfan69/film/citizen-kane/,0,Citizen Kane,"[{'@type': 'Person', 'name': 'Orson Welles', 'sameAs': '/director/orson-welles-1/'}]",4.21,"[{'@type': 'PublicationEvent', 'startDate': '1941'}]",https://letterboxd.com/film/citizen-kane/,https://a.ltrbxd.com/resized/film-poster/2/7/0/2/2702-citizen-kane-0-230-0-345-crop.jpg?v=56bbc53dfd
24,28,Jun,2024,Radio Days,1987,×,,/marvelfan69/film/radio-days/,0,Radio Days,"[{'@type': 'Person', 'name': 'Woody Allen', 'sameAs': '/director/woody-allen/'}]",3.76,"[{'@type': 'PublicationEvent', 'startDate': '1987'}]",https://letterboxd.com/film/radio-days/,https://a.ltrbxd.com/resized/film-poster/3/1/6/6/0/31660-radio-days-0-230-0-345-crop.jpg?v=9caa862376
25,25,Jun,2024,Abigail's Party,1977,×,,/marvelfan69/film/abigails-party/,0,Abigail's Party,"[{'@type': 'Person', 'name': 'Mike Leigh', 'sameAs': '/director/mike-leigh/'}]",3.87,"[{'@type': 'PublicationEvent', 'startDate': '1977'}]",https://letterboxd.com/film/abigails-party/,https://a.ltrbxd.com/resized/film-poster/3/7/1/0/7/37107-abigail-s-party-0-230-0-345-crop.jpg?v=fc04bc5df0
26,23,Jun,2024,The Double Life of Véronique,1991,×,,/marvelfan69/film/the-double-life-of-veronique/1/,0,The Double Life of Véronique,"[{'@type': 'Person', 'name': 'Krzysztof Kieślowski', 'sameAs': '/director/krzysztof-kieslowski/'}]",4.12,"[{'@type': 'PublicationEvent', 'startDate': '1991'}]",https://letterboxd.com/film/the-double-life-of-veronique/,https://a.ltrbxd.com/resized/film-poster/5/0/9/3/4/50934-the-double-life-of-veronique-0-230-0-345-crop.jpg?v=4728e7cc42
27,19,Jun,2024,Journey to Italy,1954,×,,/marvelfan69/film/journey-to-italy/,0,Journey to Italy,"[{'@type': 'Person', 'name': 'Roberto Rossellini', 'sameAs': '/director/roberto-rossellini/'}]",3.82,"[{'@type': 'PublicationEvent', 'startDate': '1954'}]",https://letterboxd.com/film/journey-to-italy/,https://a.ltrbxd.com/resized/film-poster/5/0/1/2/1/50121-journey-to-italy-0-230-0-345-crop.jpg?v=242f483a5f
28,16,Jun,2024,Targets,1968,×,,/marvelfan69/film/targets/,0,Targets,"[{'@type': 'Person', 'name': 'Peter Bogdanovich', 'sameAs': '/director/peter-bogdanovich/'}]",3.96,"[{'@type': 'PublicationEvent', 'startDate': '1968'}]",https://letterboxd.com/film/targets/,https://a.ltrbxd.com/resized/film-poster/3/9/6/6/4/39664-targets-0-230-0-345-crop.jpg?v=49ea13cf8f
29,15,Jun,2024,The Sugarland Express,1974,×,,/marvelfan69/film/the-sugarland-express/,0,The Sugarland Express,"[{'@type': 'Person', 'name': 'Steven Spielberg', 'sameAs': '/director/steven-spielberg/'}]",3.51,"[{'@type': 'PublicationEvent', 'startDate': '1974'}]",https://letterboxd.com/film/the-sugarland-express/,https://a.ltrbxd.com/resized/film-poster/4/8/9/5/0/48950-the-sugarland-express-0-230-0-345-crop.jpg?v=cfc0d676df
30,10,Jun,2024,The Shop Around the Corner,1940,×,,/marvelfan69/film/the-shop-around-the-corner/,0,The Shop Around the Corner,"[{'@type': 'Person', 'name': 'Ernst Lubitsch', 'sameAs': '/director/ernst-lubitsch/'}]",4.16,"[{'@type': 'PublicationEvent', 'startDate': '1940'}]",https://letterboxd.com/film/the-shop-around-the-corner/,https://a.ltrbxd.com/resized/film-poster/3/9/0/8/2/39082-the-shop-around-the-corner-0-230-0-345-crop.jpg?v=a4fee3dd22
31,08,Jun,2024,School of Rock,2003,×,,/marvelfan69/film/school-of-rock/,0,School of Rock,"[{'@type': 'Person', 'name': 'Richard Linklater', 'sameAs': '/director/richard-linklater/'}]",3.76,"[{'@type': 'PublicationEvent', 'startDate': '2003'}]",https://letterboxd.com/film/school-of-rock/,https://a.ltrbxd.com/resized/film-poster/5/0/9/5/0/50950-school-of-rock-0-230-0-345-crop.jpg?v=1d462b4ca3
32,02,Jun,2024,Everybody Wants Some!!,2016,×,,/marvelfan69/film/everybody-wants-some/,0,Everybody Wants Some!!,"[{'@type': 'Person', 'name': 'Richard Linklater', 'sameAs': '/director/richard-linklater/'}]",3.7,"[{'@type': 'PublicationEvent', 'startDate': '2016'}]",https://letterboxd.com/film/everybody-wants-some/,https://a.ltrbxd.com/resized/sm/upload/vx/bh/wk/an/mIpd0rGxruvxCnMSmh4gd8wuhmv-0-230-0-345-crop.jpg?v=1ed6988328
33,29,May,2024,Rumble Fish,1983,×,,/marvelfan69/film/rumble-fish/,0,Rumble Fish,"[{'@type': 'Person', 'name': 'Francis Ford Coppola', 'sameAs': '/director/francis-ford-coppola/'}]",3.79,"[{'@type': 'PublicationEvent', 'startDate': '1983'}]",https://letterboxd.com/film/rumble-fish/,https://a.ltrbxd.com/resized/film-poster/5/1/8/2/4/51824-rumble-fish-0-230-0-345-crop.jpg?v=a1e8015e5a
34,21,May,2024,Sorcerer,1977,×,,/marvelfan69/film/sorcerer/,0,Sorcerer,"[{'@type': 'Person', 'name': 'William Friedkin', 'sameAs': '/director/william-friedkin/'}]",4.25,"[{'@type': 'PublicationEvent', 'startDate': '1977'}]",https://letterboxd.com/film/sorcerer/,https://a.ltrbxd.com/resized/film-poster/2/5/6/5/0/25650-sorcerer-0-230-0-345-crop.jpg?v=8dd4d17006
35,18,May,2024,Society of the Snow,2023,×,,/marvelfan69/film/society-of-the-snow/,0,Society of the Snow,"[{'@type': 'Person', 'name': 'J. A. Bayona', 'sameAs': '/director/j-a-bayona/'}]",4.14,"[{'@type': 'PublicationEvent', 'startDate': '2023'}]",https://letterboxd.com/film/society-of-the-snow/,https://a.ltrbxd.com/resized/film-poster/8/1/3/8/4/0/813840-society-of-the-snow-0-230-0-345-crop.jpg?v=c75af7d2b8
36,16,May,2024,Dreams,1990,×,,/marvelfan69/film/dreams/,0,Dreams,"[{'@type': 'Person', 'name': 'Akira Kurosawa', 'sameAs': '/director/akira-kurosawa/'}]",4.18,"[{'@type': 'PublicationEvent', 'startDate': '1990'}]",https://letterboxd.com/film/dreams/,https://a.ltrbxd.com/resized/film-poster/4/4/5/1/9/44519-dreams-0-230-0-345-crop.jpg?v=a2a17d6966
